ReemKufi-Medium,T
LondrinaSolid-Regular,T
0.003002209821715951,0.45180168747901917
0.00521924439817667,0.4964815676212311
-0.0005369297577999532,0.45878511667251587
-0.005267507862299681,0.2511647641658783
-0.007990577258169651,-0.07238863408565521
-0.011722358874976635,-0.32858502864837646
-0.014462902210652828,-0.4495251774787903
-0.007537147495895624,-0.48353254795074463
0.01810218021273613,-0.49275535345077515
0.05892743542790413,-0.49830344319343567
0.10587193816900253,-0.5028758645057678
0.14977657794952393,-0.5065434575080872
0.18460845947265625,-0.5086076259613037
0.2078624665737152,-0.5094051957130432
0.2172641158103943,-0.5109661817550659
0.2055421769618988,-0.5113672018051147
0.16241323947906494,-0.5062516331672668
0.0909399464726448,-0.5000547766685486
0.007543100509792566,-0.49716517329216003
-0.06906329840421677,-0.49740350246429443
-0.124264195561409,-0.4990084171295166
-0.1583387404680252,-0.500752866268158
-0.17929480969905853,-0.5022842288017273
-0.19340506196022034,-0.5036313533782959
-0.20371003448963165,-0.504854142665863
-0.21151402592658997,-0.5059628486633301
-0.21749024093151093,-0.5069340467453003
-0.2220885157585144,-0.5077232718467712
-0.22567948698997498,-0.5082939267158508
-0.22860941290855408,-0.5086944103240967
