ReemKufi-Medium,T
LondrinaSolid-Regular,T
-0.014837556518614292,0.49580496549606323
-0.0033619985915720463,0.5256440043449402
-0.0085738655179739,0.4998216927051544
-0.012064054608345032,0.30377161502838135
-0.01182237733155489,-0.05774352699518204
-0.01204474363476038,-0.37189698219299316
-0.011074598878622055,-0.5107833743095398
0.005774416960775852,-0.5405665636062622
0.04950159415602684,-0.546967625617981
0.10989119857549667,-0.5509889125823975
0.17260412871837616,-0.5537967681884766
0.22672110795974731,-0.5554049015045166
0.26731929183006287,-0.5553247332572937
0.2935664653778076,-0.5536419749259949
0.30223047733306885,-0.554334282875061
0.27489763498306274,-0.5571526288986206
0.1888548880815506,-0.5535792708396912
0.07075734436511993,-0.5490790605545044
-0.047376107424497604,-0.5479098558425903
-0.13991573452949524,-0.5492182970046997
-0.196007639169693,-0.5509136915206909
-0.22704435884952545,-0.5521361827850342
-0.24599215388298035,-0.5529515743255615
-0.25934770703315735,-0.5536023378372192
-0.26943284273147583,-0.5542081594467163
-0.27717044949531555,-0.5547863245010376
-0.28312718868255615,-0.5553146600723267
-0.28771036863327026,-0.5557524561882019
-0.29123371839523315,-0.5560556650161743
-0.2939906716346741,-0.5562321543693542
