ReemKufi-Medium,T
LondrinaSolid-Regular,T
-0.007289131637662649,0.47740405797958374
0.0003255903720855713,0.5139796733856201
-0.005016709677875042,0.48469942808151245
-0.009047268889844418,0.2862668037414551
-0.010065834037959576,-0.058900993317365646
-0.011861606501042843,-0.3512622117996216
-0.012655716389417648,-0.4859824478626251
-0.0005696582957170904,-0.5187680721282959
0.03496498614549637,-0.5263198018074036
0.08701141923666,-0.530924379825592
0.14339886605739594,-0.5344911813735962
0.19363558292388916,-0.5370475649833679
0.2320191115140915,-0.5379436016082764
0.25690725445747375,-0.5373669266700745
0.26568713784217834,-0.5383579730987549
0.24554134905338287,-0.5398056507110596
0.17866723239421844,-0.535450279712677
0.08048655837774277,-0.5302613973617554
-0.02262512408196926,-0.5284503698348999
-0.10877373814582825,-0.5293769836425781
-0.16493242979049683,-0.5310967564582825
-0.19736608862876892,-0.5325918197631836
-0.21708406507968903,-0.53374844789505
-0.2306307852268219,-0.53471440076828
-0.2406824827194214,-0.5355872511863708
-0.24833063781261444,-0.5363866686820984
-0.2541898488998413,-0.5370955467224121
-0.25868886709213257,-0.5376757979393005
-0.2621653378009796,-0.5380880832672119
-0.2649325728416443,-0.5383557081222534
