ShipporiMincho-Bold,F
BioRhyme-Bold,F
0.26526790857315063,-0.15153296291828156
0.2717086672782898,0.13601656258106232
0.2671261131763458,-0.016784008592367172
0.04827657714486122,-0.013184405863285065
-0.17113463580608368,-0.013904200866818428
-0.25821223855018616,-0.012870130129158497
-0.26123103499412537,0.1479136347770691
-0.26645955443382263,0.4750754237174988
-0.2918383479118347,0.573206901550293
-0.44991815090179443,0.5996910333633423
-0.47178733348846436,0.6062853336334229
-0.2689397633075714,0.5597667098045349
-0.06481491774320602,0.6028491258621216
-0.019582094624638557,0.6087141036987305
-0.22179150581359863,0.5742311477661133
-0.2657087445259094,0.5262560248374939
-0.26291370391845703,0.06531745940446854
-0.26240891218185425,-0.5035788416862488
-0.295767217874527,-0.5738503932952881
-0.45309966802597046,-0.5999529361724854
-0.45565682649612427,-0.5970498323440552
-0.22381380200386047,-0.5682066679000854
-0.08661036193370819,-0.5947986841201782
-0.0025626178830862045,-0.6007757186889648
0.14151456952095032,-0.5957411527633667
0.3569576144218445,-0.5888830423355103
0.47725650668144226,-0.5702100992202759
0.5074737071990967,-0.482568621635437
0.5102928876876831,-0.40113621950149536
0.5140443444252014,-0.3663732707500458
