ShipporiMincho-Bold,F
BioRhyme-Bold,F
0.17003148794174194,-0.10197211802005768
0.15719576179981232,0.169354647397995
0.14097203314304352,0.0333399698138237
-0.06669590622186661,0.0389215461909771
-0.22211529314517975,0.03462216630578041
-0.26620739698410034,0.06549897789955139
-0.2669627070426941,0.28358009457588196
-0.26537832617759705,0.49777519702911377
-0.35913583636283875,0.5443230867385864
-0.46613797545433044,0.5723965167999268
-0.3776889145374298,0.5369797348976135
-0.1726991981267929,0.535228431224823
-0.03319800645112991,0.5732817649841309
-0.10749143362045288,0.5592219829559326
-0.25905564427375793,0.5274375081062317
-0.26751232147216797,0.3649758994579315
-0.2687422037124634,-0.22436274588108063
-0.2674667537212372,-0.46385741233825684
-0.36982330679893494,-0.48708224296569824
-0.4873206317424774,-0.5106942653656006
-0.3442994952201843,-0.47632914781570435
-0.15896132588386536,-0.48381125926971436
-0.06408336758613586,-0.5043218731880188
0.030633272603154182,-0.5055808424949646
0.2265947312116623,-0.4990714490413666
0.4104212820529938,-0.4955263137817383
0.48035386204719543,-0.45865339040756226
0.4917025864124298,-0.370670884847641
0.49113041162490845,-0.31676116585731506
0.4952012002468109,-0.29773247241973877
