ShipporiMincho-Bold,F
BioRhyme-Bold,F
0.30979204177856445,-0.1901942640542984
0.32260802388191223,0.12198816239833832
0.3139381408691406,-0.0362902507185936
0.09907486289739609,-0.03398614749312401
-0.14257411658763885,-0.03351851552724838
-0.2531297504901886,-0.03626687824726105
-0.2610354721546173,0.09280699491500854
-0.26463252305984497,0.4465903639793396
-0.2760728895664215,0.582503616809845
-0.43569403886795044,0.6092158555984497
-0.481442928314209,0.6248515844345093
-0.2902675271034241,0.5764794945716858
-0.07565135508775711,0.6135159730911255
-0.011473762802779675,0.6237549185752869
-0.20544563233852386,0.5912485718727112
-0.26559877395629883,0.5564484596252441
-0.26155415177345276,0.17331835627555847
-0.2631949782371521,-0.49444934725761414
-0.27959907054901123,-0.6088773012161255
-0.4330998957157135,-0.6343559622764587
-0.47649475932121277,-0.6388511657714844
-0.24865645170211792,-0.606452226638794
-0.09713633358478546,-0.6306413412094116
-0.01132116187363863,-0.6389927864074707
0.11910904943943024,-0.6361933946609497
0.33564478158950806,-0.6282614469528198
0.47276484966278076,-0.613811731338501
0.5124574303627014,-0.5318768620491028
0.5175739526748657,-0.440712034702301
0.5211794376373291,-0.39825981855392456
