Amiko-SemiBold,I
RammettoOne-Regular,I
0.01647576130926609,0.4104562997817993
-0.00020681507885456085,0.40455570816993713
-0.015965042635798454,0.3332041800022125
-0.015912499278783798,-0.04973196983337402
-0.015623485669493675,-0.4835626780986786
-0.016901757568120956,-0.6609199047088623
-0.01506446860730648,-0.6929060220718384
0.0009177138563245535,-0.7047379016876221
0.027285953983664513,-0.7150057554244995
0.05842699483036995,-0.7221131324768066
0.09221739321947098,-0.7268014550209045
0.12769348919391632,-0.72991943359375
0.162997767329216,-0.7318360209465027
0.1954660564661026,-0.7327814102172852
0.2219999134540558,-0.7330095767974854
0.2371896356344223,-0.7325549721717834
0.22707758843898773,-0.731209933757782
0.17089544236660004,-0.7292776107788086
0.06992555409669876,-0.7277023792266846
-0.04002169892191887,-0.727190375328064
-0.11952012032270432,-0.7277589440345764
-0.1647738665342331,-0.7287834286689758
-0.1898217648267746,-0.7299851179122925
-0.20495851337909698,-0.7312827110290527
-0.21494077146053314,-0.7325339913368225
-0.22186267375946045,-0.7336267232894897
-0.2268362194299698,-0.7345200777053833
-0.23055008053779602,-0.7352110147476196
-0.233450248837471,-0.7357057332992554
-0.23584359884262085,-0.7360156178474426
