Amiko-SemiBold,I
RammettoOne-Regular,I
0.010405185632407665,0.4837060570716858
0.009228738956153393,0.5078083872795105
0.008483168669044971,0.4362133741378784
0.00984668917953968,0.1995973140001297
0.00968733336776495,-0.09127309173345566
0.007842487655580044,-0.309668630361557
0.006100122816860676,-0.4302918016910553
0.004489506129175425,-0.48528993129730225
0.003947560675442219,-0.5111076831817627
0.004589931573718786,-0.5274268388748169
0.005943153984844685,-0.5393608808517456
0.007641105446964502,-0.5479538440704346
0.009442112408578396,-0.5540092587471008
0.011143487878143787,-0.5582284331321716
0.012600759044289589,-0.5611645579338074
0.013745294883847237,-0.5632465481758118
0.014567030593752861,-0.564793050289154
0.015089096501469612,-0.5660277605056763
0.015348842367529869,-0.5671003460884094
0.015386747196316719,-0.5681082010269165
0.015241318382322788,-0.5691128969192505
0.014946808107197285,-0.5701513290405273
0.014532583765685558,-0.5712422132492065
0.014023046009242535,-0.5723898410797119
0.013437192887067795,-0.5735867023468018
0.012787901796400547,-0.5748144388198853
0.012080156244337559,-0.576047420501709
0.011308569461107254,-0.5772537589073181
0.010454322211444378,-0.5784008502960205
0.009482587687671185,-0.5794609785079956
