Amiko-SemiBold,I
RammettoOne-Regular,I
0.01274893619120121,0.46335569024086
0.006220167502760887,0.48659563064575195
0.002458675531670451,0.41792452335357666
0.0032827735412865877,0.14907656610012054
0.0031286021694540977,-0.19157060980796814
0.001443503308109939,-0.43016842007637024
-0.0006574325961992145,-0.5430446863174438
-0.0018862808356061578,-0.5840374231338501
-0.00024300627410411835,-0.6015220880508423
0.0035101347602903843,-0.613006591796875
0.00802974496036768,-0.6208495497703552
0.012482970952987671,-0.6260474920272827
0.016407540068030357,-0.6296378374099731
0.019548069685697556,-0.6322959661483765
0.021791070699691772,-0.6343902945518494
0.02313527651131153,-0.6361373662948608
0.023655537515878677,-0.6376844644546509
0.023461535573005676,-0.6391353607177734
0.022668415680527687,-0.6405579447746277
0.02138238027691841,-0.6419894695281982
0.019696174189448357,-0.6434438228607178
0.017687320709228516,-0.6449146270751953
0.015415812842547894,-0.6463794708251953
0.012918887659907341,-0.6478049755096436
0.010204460471868515,-0.6491520404815674
0.007245134562253952,-0.6503859162330627
0.003978687804192305,-0.6514895558357239
0.0003227507695555687,-0.6524771451950073
-0.0037899515591561794,-0.6534030437469482
-0.008358369581401348,-0.6543565988540649
