Neuton-ExtraBold,O
RedHatMono-Italic[wght],O
0.023344507440924644,-0.39375558495521545
0.03951223939657211,-0.3942616581916809
0.10930667817592621,-0.37586817145347595
0.1858685165643692,-0.3414117991924286
0.25131338834762573,-0.2791585624217987
0.310082346200943,-0.18474340438842773
0.35426726937294006,-0.06721193343400955
0.37056446075439453,0.06509466469287872
0.3612997233867645,0.2023535966873169
0.3360216021537781,0.31962916254997253
0.2974194288253784,0.41527843475341797
0.2455500066280365,0.49408379197120667
0.18276670575141907,0.5467798113822937
0.10625406354665756,0.5773749351501465
0.011564111337065697,0.5924639701843262
-0.09057491272687912,0.5837959051132202
-0.18576127290725708,0.5419890880584717
-0.265331506729126,0.46739494800567627
-0.32207435369491577,0.36072054505348206
-0.35648423433303833,0.22273743152618408
-0.36913809180259705,0.08944176137447357
-0.3621930181980133,-0.017987553030252457
-0.33891770243644714,-0.10669012367725372
-0.3040601313114166,-0.185841903090477
-0.2629737854003906,-0.25387144088745117
-0.2198406159877777,-0.3058928847312927
-0.17755179107189178,-0.3414023816585541
-0.13889911770820618,-0.3635316491127014
-0.10559921711683273,-0.37655383348464966
-0.07713235914707184,-0.38415899872779846
