Neuton-ExtraBold,O
RedHatMono-Italic[wght],O
0.09272436052560806,-0.5165800452232361
0.0988103598356247,-0.5206835865974426
0.15938258171081543,-0.5118627548217773
0.2326219528913498,-0.4875301122665405
0.29652726650238037,-0.44581925868988037
0.35211050510406494,-0.38045263290405273
0.39936238527297974,-0.28418177366256714
0.4293077290058136,-0.1640516072511673
0.4347739517688751,-0.03035682998597622
0.4174531400203705,0.11213456094264984
0.38271912932395935,0.24565169215202332
0.3319567143917084,0.3642590641975403
0.2629452347755432,0.46850094199180603
0.17319782078266144,0.5495055913925171
0.06219528242945671,0.5986605286598206
-0.050882358103990555,0.6152150630950928
-0.15390869975090027,0.5937363505363464
-0.24619440734386444,0.5363794565200806
-0.31793031096458435,0.445269912481308
-0.36476582288742065,0.3134974241256714
-0.3841331899166107,0.16714565455913544
-0.3787895441055298,0.037890851497650146
-0.3567522466182709,-0.07892654836177826
-0.3187265694141388,-0.19311794638633728
-0.2645937204360962,-0.29644840955734253
-0.20274771749973297,-0.37755176424980164
-0.1442359983921051,-0.43312740325927734
-0.09506067633628845,-0.4674470126628876
-0.05564868450164795,-0.48772382736206055
-0.022955892607569695,-0.5001013875007629
