Neuton-ExtraBold,O
RedHatMono-Italic[wght],O
0.04896005988121033,-0.4331451654434204
0.05453003942966461,-0.437884658575058
0.12141536176204681,-0.4242969751358032
0.19686384499073029,-0.39621058106422424
0.2606208026409149,-0.34577226638793945
0.3177539110183716,-0.26606225967407227
0.36549267172813416,-0.1560070812702179
0.39086946845054626,-0.029450614005327225
0.38883236050605774,0.10992208868265152
0.36628949642181396,0.24322980642318726
0.32937484979629517,0.3558639883995056
0.27788007259368896,0.45082300901412964
0.21261565387248993,0.5251584649085999
0.1318417340517044,0.5717470645904541
0.033366087824106216,0.5973575115203857
-0.07170020788908005,0.5976922512054443
-0.17035965621471405,0.5638741850852966
-0.25587183237075806,0.4965968132019043
-0.3192635476589203,0.3961966931819916
-0.3587052524089813,0.2595615088939667
-0.37402579188346863,0.11983329057693481
-0.3689521551132202,0.003224588930606842
-0.3473201096057892,-0.09533410519361496
-0.31122615933418274,-0.18672460317611694
-0.2650544345378876,-0.26778721809387207
-0.21541930735111237,-0.3297625780105591
-0.16767913103103638,-0.37140825390815735
-0.1254069209098816,-0.3970748484134674
-0.08999712765216827,-0.4122125804424286
-0.060189247131347656,-0.4212431311607361
