Neuton-ExtraBold,O
RedHatMono-Italic[wght],O
0.10087689757347107,-0.5359904766082764
0.11151119321584702,-0.5398619174957275
0.1702229380607605,-0.5313140153884888
0.24300511181354523,-0.5066767930984497
0.3073884844779968,-0.46488451957702637
0.363303005695343,-0.40019381046295166
0.4103190004825592,-0.305331826210022
0.439797043800354,-0.18558377027511597
0.4451421797275543,-0.05290861800312996
0.42787349224090576,0.08988641202449799
0.3928966522216797,0.22609035670757294
0.3415992259979248,0.3480297327041626
0.2714173495769501,0.45688146352767944
0.17939046025276184,0.5443739891052246
0.06509460508823395,0.5987505912780762
-0.05001787096261978,0.618228554725647
-0.15371619164943695,0.5985605120658875
-0.2467430979013443,0.5422922372817993
-0.3192561864852905,0.45206424593925476
-0.3667086660861969,0.3207044005393982
-0.38639596104621887,0.173233300447464
-0.38058900833129883,0.04169238731265068
-0.35754138231277466,-0.07888901978731155
-0.3185120224952698,-0.19759543240070343
-0.26257792115211487,-0.30493059754371643
-0.1979859322309494,-0.3897172212600708
-0.13706833124160767,-0.4481445848941803
-0.08652651309967041,-0.48419803380966187
-0.04639598727226257,-0.5054597854614258
-0.013088789768517017,-0.5184712409973145
