Neuton-ExtraBold,O
RedHatMono-Italic[wght],O
0.10831161588430405,-0.5540982484817505
0.12412969768047333,-0.5581724047660828
0.18114927411079407,-0.5496597290039062
0.25349846482276917,-0.5243211388587952
0.3183841109275818,-0.48181042075157166
0.37480029463768005,-0.41696617007255554
0.42164453864097595,-0.32261350750923157
0.45040637254714966,-0.20278774201869965
0.45513638854026794,-0.07073356956243515
0.43741798400878906,0.07226672768592834
0.4018075168132782,0.2105225771665573
0.3495829999446869,0.33492475748062134
0.27791517972946167,0.44745585322380066
0.18341262638568878,0.5403183102607727
0.0658850148320198,0.5992611646652222
-0.05101713165640831,0.6210168600082397
-0.15518680214881897,0.6025422811508179
-0.24862977862358093,0.5467986464500427
-0.32143133878707886,0.4568510949611664
-0.3689652979373932,0.3253838121891022
-0.38849133253097534,0.17693006992340088
-0.3819957673549652,0.04334160313010216
-0.3576924800872803,-0.08074464648962021
-0.3174150586128235,-0.20337851345539093
-0.25964754819869995,-0.3140718340873718
-0.19243143498897552,-0.4019407629966736
-0.12931519746780396,-0.46272915601730347
-0.07763273268938065,-0.500159740447998
-0.03693776950240135,-0.5221790075302124
-0.003069555154070258,-0.5356780886650085
