BarlowSemiCondensed-Thin,K
IBMPlexSans-ExtraLightItalic,K
0.35496124625205994,0.6205011606216431
-0.00320612289942801,-0.08576991409063339
0.40032655000686646,-0.5261521339416504
0.48340266942977905,-0.5790945291519165
0.4056159555912018,-0.528340220451355
0.35359278321266174,-0.48216724395751953
0.2902653217315674,-0.40461140871047974
0.20074330270290375,-0.3098219037055969
0.09963718056678772,-0.20478905737400055
0.016371028497815132,-0.09476680308580399
-0.050262998789548874,-0.012044682167470455
-0.11270208656787872,0.027497483417391777
-0.18199984729290009,0.049279388040304184
-0.24483858048915863,0.07898127287626266
-0.2763323485851288,0.15610644221305847
-0.30027666687965393,0.3125559687614441
-0.3205391466617584,0.47675031423568726
-0.33331775665283203,0.5629673004150391
-0.34000372886657715,0.5865378379821777
-0.33740487694740295,0.5782532095909119
-0.3298865556716919,0.5511255264282227
-0.32093092799186707,0.4935372769832611
-0.30809444189071655,0.38013312220573425
-0.28674590587615967,0.21400679647922516
-0.2585425078868866,0.007423085626214743
-0.23050160706043243,-0.22591742873191833
-0.2076447457075119,-0.40607792139053345
-0.19299671053886414,-0.49552470445632935
-0.18433205783367157,-0.5319703221321106
-0.17752273380756378,-0.548143744468689
