BarlowSemiCondensed-Thin,K
IBMPlexSans-ExtraLightItalic,K
0.36146894097328186,0.6230536699295044
-0.022161006927490234,-0.09698358923196793
0.3346358835697174,-0.5265968441963196
0.4007492661476135,-0.5771937966346741
0.3358326852321625,-0.5304266810417175
0.2926253378391266,-0.48328661918640137
0.23777785897254944,-0.4064953327178955
0.1569971889257431,-0.3120407164096832
0.06356564164161682,-0.20582905411720276
-0.011522695422172546,-0.09535407274961472
-0.07198324054479599,-0.012872160412371159
-0.13135118782520294,0.02659151330590248
-0.20004162192344666,0.04983948916196823
-0.249730184674263,0.08518463373184204
-0.2690761387348175,0.1778906136751175
-0.2819228768348694,0.34168583154678345
-0.2920375466346741,0.4917800724506378
-0.29767581820487976,0.5631797313690186
-0.30066776275634766,0.5808634757995605
-0.29920151829719543,0.5721839666366577
-0.29566752910614014,0.5467934608459473
-0.2914493680000305,0.49445411562919617
-0.284759521484375,0.3911292254924774
-0.27346640825271606,0.22220051288604736
-0.2575889527797699,-0.0032277218997478485
-0.24013040959835052,-0.23863151669502258
-0.22444891929626465,-0.4050138592720032
-0.21335743367671967,-0.48802632093429565
-0.20536178350448608,-0.5241885781288147
-0.19846279919147491,-0.5415605306625366
