BarlowSemiCondensed-Thin,K
IBMPlexSans-ExtraLightItalic,K
0.3453850746154785,0.6123921871185303
0.026270173490047455,-0.06333950161933899
0.4801289737224579,-0.5213733315467834
0.5876031517982483,-0.5829934477806091
0.49628502130508423,-0.5265653133392334
0.43407905101776123,-0.4787142872810364
0.35699722170829773,-0.3957017958164215
0.2516385614871979,-0.29635581374168396
0.14173002541065216,-0.18735665082931519
0.04989968240261078,-0.0760207399725914
-0.024804506450891495,-0.0009404306183569133
-0.09386708587408066,0.03276001289486885
-0.16937749087810516,0.05217057093977928
-0.24346016347408295,0.07938966900110245
-0.287522554397583,0.15059876441955566
-0.32512199878692627,0.3107024133205414
-0.3579240143299103,0.4835759401321411
-0.38280102610588074,0.5731601715087891
-0.3953891098499298,0.5979205965995789
-0.386969655752182,0.5856755971908569
-0.3721539378166199,0.5526987314224243
-0.3559720814228058,0.48414117097854614
-0.333939790725708,0.354492723941803
-0.29923033714294434,0.180795818567276
-0.2573889493942261,-0.03717166557908058
-0.21595807373523712,-0.27985596656799316
-0.1840798705816269,-0.44542598724365234
-0.16584527492523193,-0.5172543525695801
-0.1551111340522766,-0.5445337295532227
-0.145167276263237,-0.5567632913589478
