BarlowSemiCondensed-Thin,K
IBMPlexSans-ExtraLightItalic,K
0.35240429639816284,0.6187753677368164
0.004064038395881653,-0.08071985095739365
0.42184340953826904,-0.5253472328186035
0.5109666585922241,-0.5798395872116089
0.42927300930023193,-0.5276725888252258
0.37441810965538025,-0.48139703273773193
0.30780839920043945,-0.4029075503349304
0.21463750302791595,-0.3073071837425232
0.11112337559461594,-0.20179209113121033
0.025321537628769875,-0.09148664027452469
-0.04346301034092903,-0.009956873022019863
-0.10749568790197372,0.02853734791278839
-0.1777811497449875,0.049693331122398376
-0.24367989599704742,0.07838068157434464
-0.27856147289276123,0.15298859775066376
-0.30588454008102417,0.3093111217021942
-0.32947495579719543,0.47659748792648315
-0.34498700499534607,0.5649734735488892
-0.3529976010322571,0.5891172885894775
-0.3495209515094757,0.5801254510879517
-0.3403894901275635,0.5520370602607727
-0.3297295868396759,0.4929225742816925
-0.3149893283843994,0.37704524397850037
-0.29087865352630615,0.21077316999435425
-0.2595916986465454,0.004624285269528627
-0.22844552993774414,-0.23074954748153687
-0.20321057736873627,-0.41152629256248474
-0.18732111155986786,-0.49950844049453735
-0.17806141078472137,-0.5346570611000061
-0.17067186534404755,-0.5501089096069336
