BarlowSemiCondensed-Thin,K
IBMPlexSans-ExtraLightItalic,K
0.3596624732017517,0.622739315032959
-0.01641688495874405,-0.09392987191677094
0.35638198256492615,-0.5267201662063599
0.42797908186912537,-0.577775239944458
0.3585972189903259,-0.5296915769577026
0.31248530745506287,-0.48307371139526367
0.2550581693649292,-0.40635523200035095
0.17169858515262604,-0.31216225028038025
0.07564093172550201,-0.20679990947246552
-0.0021924024913460016,-0.09672674536705017
-0.06462062895298004,-0.013536661863327026
-0.12461961060762405,0.02651815675199032
-0.1933363527059555,0.04939083382487297
-0.24829018115997314,0.08230802416801453
-0.27216848731040955,0.1680900901556015
-0.28932687640190125,0.3279106914997101
-0.3031691610813141,0.4836345314979553
-0.31112104654312134,0.5616408586502075
-0.31507036089897156,0.5821578502655029
-0.3130986988544464,0.5740976333618164
-0.3082263469696045,0.5482221841812134
-0.30246907472610474,0.493246853351593
-0.29347625374794006,0.3841647505760193
-0.27786335349082947,0.21574683487415314
-0.2563105523586273,0.0015427382895722985
-0.23437809944152832,-0.23058301210403442
-0.21603408455848694,-0.4037468731403351
-0.20390039682388306,-0.4907152056694031
-0.19622579216957092,-0.5274960994720459
-0.19005204737186432,-0.5444341897964478
