Amethysta-Regular,X
Barlow-Bold,X
0.43956688046455383,0.6458913087844849
0.0012810074258595705,0.017242664471268654
0.3635874390602112,-0.5436749458312988
0.4506491720676422,-0.5792911052703857
0.32410767674446106,-0.5478513240814209
0.33824610710144043,-0.510978639125824
0.27724820375442505,-0.40301308035850525
0.14596328139305115,-0.19895842671394348
-0.0446280762553215,0.07280117273330688
-0.22845929861068726,0.34322378039360046
-0.34150949120521545,0.5312369465827942
-0.4140750765800476,0.6036517024040222
-0.5030258297920227,0.6207735538482666
-0.44542962312698364,0.6007901430130005
-0.34399113059043884,0.5959986448287964
-0.3570607304573059,0.5741879940032959
-0.29280850291252136,0.4580496847629547
-0.1719571352005005,0.24992114305496216
-0.0503753125667572,0.08101009577512741
0.0007781561580486596,0.00794943980872631
-0.02516673132777214,-0.035385653376579285
-0.0911014974117279,-0.1218026801943779
-0.17930735647678375,-0.26073575019836426
-0.26322993636131287,-0.40720880031585693
-0.32050201296806335,-0.5015953779220581
-0.37053176760673523,-0.5480808019638062
-0.4358842074871063,-0.5706921815872192
-0.4770461320877075,-0.5792708396911621
-0.4347892701625824,-0.5674962997436523
-0.33602824807167053,-0.55535888671875
