Amethysta-Regular,X
Barlow-Bold,X
0.4270676374435425,0.6450048685073853
0.000481292576296255,0.022553734481334686
0.3505280911922455,-0.5235190987586975
0.43280404806137085,-0.5696528553962708
0.34640729427337646,-0.5279673337936401
0.3230978846549988,-0.4874396026134491
0.26133930683135986,-0.37980902194976807
0.1304873675107956,-0.1764289140701294
-0.052026066929101944,0.08945205807685852
-0.22572562098503113,0.34936684370040894
-0.3343983292579651,0.5287889242172241
-0.4063737988471985,0.6043698787689209
-0.4867638349533081,0.6276775002479553
-0.4454577565193176,0.6144449710845947
-0.3742533028125763,0.5913096070289612
-0.3343658745288849,0.5346829891204834
-0.2434416562318802,0.3822375535964966
-0.1250811666250229,0.18738068640232086
-0.02663719281554222,0.05780981853604317
-0.00014738179743289948,0.004834919702261686
-0.029438406229019165,-0.03533422201871872
-0.08863355964422226,-0.11392867565155029
-0.16779781877994537,-0.23838062584400177
-0.24680335819721222,-0.37421777844429016
-0.30356383323669434,-0.46889591217041016
-0.3462006151676178,-0.5188958048820496
-0.39218950271606445,-0.5483822822570801
-0.43711188435554504,-0.5644749402999878
-0.44869381189346313,-0.5671470165252686
-0.4052637815475464,-0.5559141635894775
