Lobster-Regular,K
Neucha,K
0.2998467683792114,0.6407697200775146
-0.16017930209636688,0.03226196765899658
0.262949675321579,-0.5270313024520874
0.3511190414428711,-0.5822732448577881
0.26855507493019104,-0.5314728021621704
0.22344589233398438,-0.47499197721481323
0.1555444747209549,-0.38176101446151733
0.06226663291454315,-0.2731100022792816
-0.016347818076610565,-0.16618596017360687
-0.07530099898576736,-0.07240656018257141
-0.13479550182819366,-0.01083341334015131
-0.20149511098861694,0.020290130749344826
-0.24083703756332397,0.040377791970968246
-0.2513830363750458,0.09000149369239807
-0.25092706084251404,0.21017703413963318
-0.24993164837360382,0.3797993063926697
-0.24895134568214417,0.5128745436668396
-0.24705494940280914,0.5731856226921082
-0.2466810792684555,0.589201807975769
-0.24746359884738922,0.5828832387924194
-0.24890771508216858,0.5600438714027405
-0.24973538517951965,0.5138513445854187
-0.24905948340892792,0.4284621477127075
-0.24790793657302856,0.2747238576412201
-0.24836330115795135,0.03311312943696976
-0.2499532252550125,-0.22111375629901886
-0.24990613758563995,-0.3859998881816864
-0.2509714961051941,-0.4663332998752594
-0.25305065512657166,-0.5023598074913025
-0.2537100613117218,-0.520003080368042
