KoHo-Bold,P
Sarabun-Regular,P
-0.2106010615825653,-0.5201995968818665
0.0840679258108139,-0.5196452736854553
0.20756922662258148,-0.5009850263595581
0.28161829710006714,-0.46551990509033203
0.3377847671508789,-0.4093663692474365
0.3774011433124542,-0.32708418369293213
0.38915136456489563,-0.21765147149562836
0.3719812333583832,-0.09566342830657959
0.3328537940979004,-0.005860369652509689
0.2717546820640564,0.04672521725296974
0.182643324136734,0.07736113667488098
0.06241416931152344,0.09086251258850098
-0.08397921174764633,0.09452712535858154
-0.21065093576908112,0.09171649813652039
-0.2781844735145569,0.08827115595340729
-0.2951466143131256,0.11612437665462494
-0.2942371368408203,0.2112855166196823
-0.2931741774082184,0.34998735785484314
-0.2931038737297058,0.45895862579345703
-0.29322391748428345,0.5063036680221558
-0.2934209108352661,0.5107672214508057
-0.2935141623020172,0.4893476366996765
-0.29337722063064575,0.44366395473480225
-0.2931225001811981,0.358286589384079
-0.2927941083908081,0.20149223506450653
-0.2929415702819824,-0.04077650234103203
-0.2919164299964905,-0.2735598683357239
-0.28948256373405457,-0.4070902168750763
-0.28637024760246277,-0.465098112821579
-0.27775606513023376,-0.49096956849098206
