KoHo-Bold,P
Sarabun-Regular,P
-0.22595393657684326,-0.5396586060523987
0.06297574192285538,-0.537007749080658
0.18076831102371216,-0.5143604278564453
0.253999799489975,-0.4744216501712799
0.3101367652416229,-0.4129955470561981
0.34885427355766296,-0.32394835352897644
0.3580102026462555,-0.2044248729944229
0.33595335483551025,-0.07683593034744263
0.2909174859523773,0.01188682857900858
0.22099067270755768,0.0651155337691307
0.12211710214614868,0.0950271338224411
-0.0056710378266870975,0.10805513709783554
-0.14482872188091278,0.11131947487592697
-0.2441856861114502,0.10809948295354843
-0.28843531012535095,0.1128329262137413
-0.29520994424819946,0.16744516789913177
-0.293972909450531,0.2895682156085968
-0.2935864329338074,0.4264725148677826
-0.2931936979293823,0.5087801218032837
-0.29324236512184143,0.5349730849266052
-0.2936263978481293,0.5286338925361633
-0.29383233189582825,0.5016260147094727
-0.2938585877418518,0.450284481048584
-0.29362279176712036,0.3549511432647705
-0.2932560443878174,0.18029488623142242
-0.29343876242637634,-0.07883313298225403
-0.29192379117012024,-0.30949217081069946
-0.28888168931007385,-0.43479123711586
-0.2849665880203247,-0.488329142332077
-0.2756337821483612,-0.5123923420906067
