KoHo-Bold,P
Sarabun-Regular,P
-0.20178842544555664,-0.5090909600257874
0.09896167367696762,-0.509550929069519
0.22367870807647705,-0.49331775307655334
0.2978340983390808,-0.4602218270301819
0.35374799370765686,-0.4068426787853241
0.39364081621170044,-0.3280280530452728
0.4066331088542938,-0.22361475229263306
0.39193618297576904,-0.1051185131072998
0.35575535893440247,-0.014984849840402603
0.2989872694015503,0.03697970137000084
0.21484987437725067,0.06755522638559341
0.09973239153623581,0.08139624446630478
-0.046136822551488876,0.0849786251783371
-0.18640455603599548,0.08248501271009445
-0.26889657974243164,0.07729010283946991
-0.2942909598350525,0.09348372370004654
-0.29430657625198364,0.1732931137084961
-0.2927606403827667,0.3072892427444458
-0.29277586936950684,0.4274614453315735
-0.2932526469230652,0.48733362555503845
-0.2934451103210449,0.4988260567188263
-0.29333552718162537,0.48090416193008423
-0.29305338859558105,0.43796026706695557
-0.29272976517677307,0.3567097783088684
-0.292429655790329,0.20672376453876495
-0.2925974726676941,-0.028622079640626907
-0.2918117046356201,-0.2603268027305603
-0.2899000644683838,-0.39502349495887756
-0.28744226694107056,-0.4534006416797638
-0.27913349866867065,-0.47930648922920227
