K2D-Bold,W
Bevan-Italic,W
0.05516975745558739,-0.5512200593948364
0.19533368945121765,0.022819412872195244
0.3341044783592224,0.48878613114356995
0.4482063353061676,0.4163273870944977
0.7108673453330994,-0.6183515787124634
0.5380905866622925,0.06245460733771324
0.44854405522346497,0.3900728225708008
0.36995381116867065,0.45346617698669434
0.3176709711551666,0.4052869379520416
0.26558834314346313,0.39616507291793823
0.18386021256446838,0.4227880835533142
0.07923402637243271,0.44960224628448486
-0.018289554864168167,0.44491469860076904
-0.11683429032564163,0.40954652428627014
-0.22819355130195618,0.3725842237472534
-0.3343052566051483,0.3961547315120697
-0.42284849286079407,0.42359814047813416
-0.4909941852092743,0.16111239790916443
-0.5750390291213989,-0.33014345169067383
-0.6353759765625,-0.5629112124443054
-0.6363523602485657,-0.5739112496376038
-0.5972585678100586,-0.4530641734600067
-0.5289727449417114,-0.0930885523557663
-0.44814348220825195,0.28179851174354553
-0.3954153060913086,0.4665159583091736
-0.3535590171813965,0.49737676978111267
-0.27790504693984985,0.37182751297950745
-0.16249866783618927,0.04084373638033867
-0.06106902286410332,-0.2828585207462311
0.010504773817956448,-0.43579089641571045
