K2D-Bold,W
Bevan-Italic,W
0.13116681575775146,-0.6508893966674805
0.22624053061008453,-0.05687449499964714
0.362810879945755,0.4847339987754822
0.5086309313774109,0.3614007234573364
0.9359444379806519,-0.6831293106079102
0.6386745572090149,0.09182409942150116
0.4925157427787781,0.3910765051841736
0.38723090291023254,0.429436594247818
0.31688690185546875,0.40448957681655884
0.23027971386909485,0.41595280170440674
0.11106780916452408,0.44604140520095825
-0.006712633650749922,0.44564852118492126
-0.12671443819999695,0.4100051522254944
-0.2589587867259979,0.37118464708328247
-0.3797580301761627,0.400168240070343
-0.4793177843093872,0.425205796957016
-0.5443243980407715,0.09836067259311676
-0.6190342903137207,-0.43177929520606995
-0.6879138946533203,-0.6337532997131348
-0.6955121755599976,-0.6502769589424133
-0.636521577835083,-0.5753574371337891
-0.5937181711196899,-0.26248276233673096
-0.5215716361999512,0.15915325284004211
-0.4709860384464264,0.422091543674469
-0.429842084646225,0.49046075344085693
-0.3562665283679962,0.43265119194984436
-0.21135014295578003,0.19496022164821625
-0.05110707879066467,-0.15043754875659943
0.06507682055234909,-0.38907966017723083
0.13392122089862823,-0.5048685073852539
