K2D-Bold,W
Bevan-Italic,W
0.21400873363018036,-0.7695662975311279
0.23949122428894043,-0.3129127323627472
0.369554340839386,0.4815137982368469
0.69532310962677,0.23831035196781158
0.9838672876358032,-0.7207425832748413
0.8068196773529053,-0.013022744096815586
0.5882465839385986,0.36469611525535583
0.4627564251422882,0.4273122251033783
0.34530866146087646,0.4321277141571045
0.2108844667673111,0.4511154294013977
0.0706961452960968,0.4612075984477997
-0.06379032135009766,0.4336991012096405
-0.21244892477989197,0.3857601284980774
-0.3604874312877655,0.3686235845088959
-0.4876248836517334,0.4223291277885437
-0.5557670593261719,0.25795257091522217
-0.6203417778015137,-0.2974262833595276
-0.7052477598190308,-0.6423826813697815
-0.7570350170135498,-0.716543436050415
-0.7042138576507568,-0.7123141288757324
-0.6634699106216431,-0.6102563142776489
-0.6203006505966187,-0.30270686745643616
-0.5646805763244629,0.13236825168132782
-0.5336089730262756,0.39612939953804016
-0.5053155422210693,0.4698560833930969
-0.445826917886734,0.4454687833786011
-0.30722904205322266,0.30570724606513977
-0.09340643882751465,0.031688086688518524
0.11756036430597305,-0.2796720266342163
0.24042943120002747,-0.4793102443218231
