K2D-Bold,W
Bevan-Italic,W
0.07229749858379364,-0.5825608968734741
0.203231543302536,0.0030241739004850388
0.34586891531944275,0.48418480157852173
0.4706926643848419,0.4104596972465515
0.7595385313034058,-0.6408757567405701
0.5683156847953796,0.06874407082796097
0.4682532250881195,0.3925151526927948
0.38301482796669006,0.44717133045196533
0.3276079297065735,0.40334126353263855
0.26908719539642334,0.39835333824157715
0.1792723834514618,0.4261237382888794
0.06820956617593765,0.4511634111404419
-0.034147199243307114,0.44056785106658936
-0.14179494976997375,0.4021410048007965
-0.25911813974380493,0.36936482787132263
-0.3676293194293976,0.4101144075393677
-0.4532864987850189,0.4086003601551056
-0.5224148035049438,0.06884757429361343
-0.6015405654907227,-0.41787829995155334
-0.65733802318573,-0.593738317489624
-0.640687108039856,-0.5908278822898865
-0.6047933101654053,-0.44572415947914124
-0.536480724811554,-0.07434570044279099
-0.4624179005622864,0.29546624422073364
-0.4104199707508087,0.4674861431121826
-0.36374998092651367,0.4872768819332123
-0.2788695991039276,0.35287711024284363
-0.15068311989307404,0.02076457254588604
-0.04094751924276352,-0.29096344113349915
0.03427864983677864,-0.44255882501602173
