K2D-Bold,W
Bevan-Italic,W
0.028954152017831802,-0.48721542954444885
0.1807813197374344,0.07324902713298798
0.31094270944595337,0.5007907152175903
0.3868759274482727,0.40647953748703003
0.6358637809753418,-0.5528934001922607
0.4758304953575134,0.049877189099788666
0.4066801965236664,0.35800907015800476
0.3453354239463806,0.44130703806877136
0.3005087077617645,0.39950069785118103
0.25686487555503845,0.3897474408149719
0.18603982031345367,0.41850751638412476
0.09335213154554367,0.44694870710372925
0.003915390465408564,0.45202529430389404
-0.08036840707063675,0.42413458228111267
-0.17848247289657593,0.38679423928260803
-0.27837276458740234,0.3886878788471222
-0.3690185844898224,0.43510502576828003
-0.43409818410873413,0.27628907561302185
-0.5230264663696289,-0.1604788601398468
-0.5944949388504028,-0.4743819236755371
-0.6143960952758789,-0.517093300819397
-0.5771092176437378,-0.40769824385643005
-0.5012719631195068,-0.04672129824757576
-0.4134320318698883,0.3126644194126129
-0.36245718598365784,0.4839767813682556
-0.32680463790893555,0.5077447891235352
-0.2551986277103424,0.3585963845252991
-0.1659109890460968,0.00830195564776659
-0.0865078940987587,-0.30452948808670044
-0.02640884928405285,-0.43203219771385193
