Livvic-ThinItalic,A
Charm-Regular,A
0.170868918299675,-0.5498819351196289
0.25149619579315186,-0.5638786554336548
0.23988188803195953,-0.2019335776567459
0.2405606359243393,0.33675044775009155
0.29070332646369934,0.5660470128059387
0.3792659640312195,0.5766806602478027
0.2167077511548996,0.5527795553207397
0.21690328419208527,0.5568786859512329
0.27810803055763245,0.4485105276107788
0.2563856542110443,0.2686719298362732
0.235086590051651,0.1703144609928131
0.1753474771976471,0.16430559754371643
0.07398197054862976,0.17235860228538513
-0.044709544628858566,0.1709563136100769
-0.1422509104013443,0.16544295847415924
-0.20606529712677002,0.19884613156318665
-0.25897926092147827,0.31773123145103455
-0.32161810994148254,0.48317697644233704
-0.3982861340045929,0.5844692587852478
-0.5255350470542908,0.5978031158447266
-0.5271937847137451,0.5906655788421631
-0.3197791576385498,0.549342155456543
-0.2557211220264435,0.5544606447219849
-0.33977314829826355,0.5100059509277344
-0.2526903450489044,0.31175461411476135
-0.10019528865814209,-0.0600186251103878
0.033865787088871,-0.3865404427051544
0.08604787290096283,-0.4942089319229126
0.0880017951130867,-0.5232594609260559
0.07462084293365479,-0.5333958864212036
