Ubuntu-Bold,G
RobotoMono-Italic[wght],G
0.35042527318000793,0.1706274002790451
0.37345221638679504,0.1563759595155716
0.3644448518753052,0.22991973161697388
0.35965970158576965,0.4124460816383362
0.35044926404953003,0.5107824802398682
0.3191906809806824,0.5264091491699219
0.26052823662757874,0.5332105159759521
0.17319156229496002,0.546462893486023
0.06211300566792488,0.5506385564804077
-0.07452069222927094,0.5361009240150452
-0.20726940035820007,0.4823724329471588
-0.3039790987968445,0.38570088148117065
-0.35987451672554016,0.2610163390636444
-0.38667210936546326,0.11542434245347977
-0.39157533645629883,-0.017107710242271423
-0.3785783350467682,-0.12564878165721893
-0.3496962785720825,-0.21724823117256165
-0.30493780970573425,-0.30059731006622314
-0.24766682088375092,-0.37162184715270996
-0.18646354973316193,-0.42417070269584656
-0.1275903284549713,-0.4585932195186615
-0.06842969357967377,-0.48038604855537415
-0.0012086810311302543,-0.4948621988296509
0.07225285470485687,-0.5028075575828552
0.14522685110569,-0.5043372511863708
0.21376723051071167,-0.5012725591659546
0.2741580009460449,-0.49518564343452454
0.32379797101020813,-0.487090140581131
0.3620307147502899,-0.47739312052726746
0.38963669538497925,-0.4658922255039215
