Ubuntu-Bold,G
RobotoMono-Italic[wght],G
0.3744972050189972,0.19045446813106537
0.37219056487083435,0.1676034927368164
0.36986833810806274,0.2492872029542923
0.3670404553413391,0.4277861714363098
0.35883232951164246,0.516075074672699
0.32850196957588196,0.5271990895271301
0.27133670449256897,0.5322855114936829
0.18600766360759735,0.5445566177368164
0.07849566638469696,0.5481795072555542
-0.05428868532180786,0.5339111685752869
-0.1914730817079544,0.48481252789497375
-0.2957817018032074,0.39146411418914795
-0.3575998544692993,0.2706647217273712
-0.38797906041145325,0.12806540727615356
-0.395898699760437,-0.005092218983918428
-0.3854919373989105,-0.11408796906471252
-0.3593396246433258,-0.20395295321941376
-0.31767669320106506,-0.28502365946769714
-0.2627083361148834,-0.35649746656417847
-0.2021358162164688,-0.41118454933166504
-0.14314670860767365,-0.44754162430763245
-0.08491677045822144,-0.47029364109039307
-0.019833020865917206,-0.48527517914772034
0.05237815901637077,-0.49408695101737976
0.12489911913871765,-0.4967193007469177
0.1940137892961502,-0.4949764907360077
0.25649407505989075,-0.49040988087654114
0.30950406193733215,-0.48393514752388
0.35172608494758606,-0.47597378492355347
0.38335105776786804,-0.4663829207420349
