Ubuntu-Bold,G
RobotoMono-Italic[wght],G
0.15572205185890198,0.1023724228143692
0.3912423551082611,0.10544285178184509
0.34652769565582275,0.1427534520626068
0.3272201120853424,0.3280375003814697
0.3082486093044281,0.4715382754802704
0.26716071367263794,0.5170943140983582
0.19342149794101715,0.5378304719924927
0.08492393046617508,0.5633597373962402
-0.052310358732938766,0.5747730731964111
-0.1822565793991089,0.5452401638031006
-0.276561975479126,0.46914660930633545
-0.33420518040657043,0.3592182993888855
-0.3632147014141083,0.21559932827949524
-0.36813947558403015,0.06634131819009781
-0.3535305857658386,-0.0749329924583435
-0.3207685947418213,-0.2048899382352829
-0.27025753259658813,-0.31702089309692383
-0.20803765952587128,-0.40466049313545227
-0.1437538117170334,-0.46670418977737427
-0.08355265110731125,-0.5066667199134827
-0.023647364228963852,-0.5317636132240295
0.0464528426527977,-0.5478726625442505
0.1256450116634369,-0.5538690686225891
0.2025431990623474,-0.5472596287727356
0.2676977217197418,-0.5304849743843079
0.3167872726917267,-0.5074079632759094
0.35023561120033264,-0.48101696372032166
0.37050533294677734,-0.4530358612537384
0.3811420798301697,-0.4231448769569397
0.38664326071739197,-0.3904464542865753
