Ubuntu-Bold,G
RobotoMono-Italic[wght],G
0.2910550534725189,0.1397133469581604
0.38063687086105347,0.13940519094467163
0.3564993143081665,0.19575783610343933
0.3465895652770996,0.3814616799354553
0.3345690965652466,0.4984409809112549
0.3008706271648407,0.5241670608520508
0.238592728972435,0.5348548293113708
0.14591896533966064,0.5502214431762695
0.025894641876220703,0.5568448901176453
-0.11436054855585098,0.5402730703353882
-0.23517078161239624,0.477356493473053
-0.31715792417526245,0.3755732774734497
-0.3627624213695526,0.2427530735731125
-0.3825185298919678,0.09424806386232376
-0.38128170371055603,-0.037797555327415466
-0.36255863308906555,-0.1485903561115265
-0.32700231671333313,-0.2468692660331726
-0.2753709852695465,-0.3339289426803589
-0.21404553949832916,-0.4028364419937134
-0.15223628282546997,-0.45126569271087646
-0.09342003613710403,-0.4824100434780121
-0.031410571187734604,-0.5025533437728882
0.040390703827142715,-0.5155952572822571
0.11660902947187424,-0.5208688974380493
0.1902235597372055,-0.518640398979187
0.2557580769062042,-0.5110200047492981
0.30926641821861267,-0.5000002384185791
0.34971776604652405,-0.4867815673351288
0.37824296951293945,-0.47169724106788635
0.39661240577697754,-0.454347163438797
