Sunflower-Bold,Z
Barlow-Black,Z
0.2846038341522217,0.520607054233551
-0.2579934000968933,0.517967939376831
-0.22292667627334595,0.3390014171600342
0.04200227931141853,-0.03111838549375534
0.2316226065158844,-0.32716405391693115
0.2570483386516571,-0.43452951312065125
0.23556452989578247,-0.4476017355918884
0.2200312316417694,-0.45258188247680664
0.19244998693466187,-0.45676305890083313
0.14644354581832886,-0.4584377110004425
0.08516000956296921,-0.4587944746017456
0.017099985852837563,-0.458995521068573
-0.046676430851221085,-0.4594271779060364
-0.09816879779100418,-0.45988279581069946
-0.13609015941619873,-0.4601215720176697
-0.16332249343395233,-0.46014341711997986
-0.1832800805568695,-0.4600716829299927
-0.19841846823692322,-0.4599967300891876
-0.21022868156433105,-0.4599197506904602
-0.21963763236999512,-0.45978015661239624
-0.22734607756137848,-0.45957520604133606
-0.23379398882389069,-0.45944103598594666
-0.23896849155426025,-0.4595010578632355
-0.24280589818954468,-0.45973747968673706
-0.24549362063407898,-0.4600658118724823
-0.24729332327842712,-0.46042120456695557
-0.24839842319488525,-0.46077027916908264
-0.24893759191036224,-0.46109628677368164
-0.24900689721107483,-0.46139007806777954
-0.2486853301525116,-0.4616456627845764
