Thabit,E
Eczar-SemiBold,E
0.16914339363574982,0.0742093101143837
0.13337160646915436,0.08274708688259125
0.043218810111284256,0.08310642838478088
-0.1437234878540039,0.08087767660617828
-0.2165432870388031,0.08931314945220947
-0.21157996356487274,0.2655527889728546
-0.21604517102241516,0.5054672956466675
-0.2532004714012146,0.5711967945098877
-0.3937937319278717,0.5996406674385071
-0.24125804007053375,0.5686222910881042
0.15139755606651306,0.586223840713501
0.36416059732437134,0.5420777797698975
0.38359564542770386,0.36761993169784546
0.35309410095214844,0.5076303482055664
0.2909441888332367,0.575631320476532
-0.07134054601192474,0.5797800421714783
-0.20880161225795746,0.5671495795249939
-0.21272167563438416,0.3449230492115021
-0.2147424966096878,-0.22038963437080383
-0.2154526263475418,-0.39853930473327637
-0.3090192675590515,-0.41655233502388
-0.37923407554626465,-0.4315912425518036
-0.2354903221130371,-0.4019659459590912
-0.07689652591943741,-0.41484785079956055
0.10584612935781479,-0.42425280809402466
0.2641824781894684,-0.41632217168807983
0.328523725271225,-0.38656342029571533
0.34576141834259033,-0.3265551030635834
0.35035714507102966,-0.27001601457595825
0.3550414741039276,-0.24300581216812134
