DelaGothicOne-Regular,W
Trykker-Regular,W
0.049352314323186874,-0.49405917525291443
0.2201365977525711,0.07048693299293518
0.37907642126083374,0.5843456983566284
0.4624914526939392,0.5452661514282227
0.801058828830719,-0.5713062882423401
0.5826976299285889,0.12679030001163483
0.4743286371231079,0.5057988166809082
0.3785475790500641,0.550628662109375
0.3319931626319885,0.4665938913822174
0.29823094606399536,0.39494121074676514
0.22115199267864227,0.4140748679637909
0.10871666669845581,0.44500574469566345
-0.0008390320581384003,0.4470166563987732
-0.1192295029759407,0.42281103134155273
-0.2555752396583557,0.42538881301879883
-0.3845421373844147,0.518653392791748
-0.45888257026672363,0.48500901460647583
-0.5592213869094849,0.11402688175439835
-0.709136962890625,-0.3788907527923584
-0.787213146686554,-0.5474101305007935
-0.7684161067008972,-0.5484856367111206
-0.704748272895813,-0.36874839663505554
-0.5907033681869507,0.043475743383169174
-0.4775941073894501,0.42632827162742615
-0.4080107808113098,0.5751979947090149
-0.373976469039917,0.5684581995010376
-0.2894940972328186,0.37833693623542786
-0.16016852855682373,-0.04864171892404556
-0.05529911443591118,-0.3719819486141205
0.00246857525780797,-0.4811848998069763
