DelaGothicOne-Regular,W
Trykker-Regular,W
0.03022450953722,-0.41327929496765137
0.18831931054592133,0.04088388383388519
0.3137145936489105,0.38192662596702576
0.47907689213752747,0.3610925078392029
0.7096601724624634,-0.5368810892105103
0.5677292346954346,0.035889673978090286
0.49311405420303345,0.33664748072624207
0.4245721995830536,0.42480653524398804
0.362348735332489,0.4025964140892029
0.30311185121536255,0.3847508132457733
0.2240033745765686,0.4059005677700043
0.12291236221790314,0.4330865144729614
0.007812676019966602,0.446605920791626
-0.10762003809213638,0.42333984375
-0.2392956018447876,0.3806105852127075
-0.3703032433986664,0.3748409152030945
-0.4727078378200531,0.3807249069213867
-0.5511868000030518,0.19786356389522552
-0.6265484094619751,-0.21016192436218262
-0.6712931394577026,-0.4257586896419525
-0.6659189462661743,-0.41920843720436096
-0.6350694298744202,-0.2354852855205536
-0.564110517501831,0.06520050764083862
-0.4891921579837799,0.32425421476364136
-0.4077715277671814,0.4062988758087158
-0.32420864701271057,0.35582464933395386
-0.23274537920951843,0.16786082088947296
-0.1554657220840454,-0.11201272904872894
-0.0890081599354744,-0.2821650207042694
-0.04168069362640381,-0.3467561602592468
