DelaGothicOne-Regular,W
Trykker-Regular,W
0.03991316631436348,-0.45493701100349426
0.2045334428548813,0.05660313367843628
0.34625551104545593,0.4830295741558075
0.4702746868133545,0.45411616563796997
0.7581102252006531,-0.5602197647094727
0.5736442804336548,0.0825892835855484
0.48330673575401306,0.4233517646789551
0.40368691086769104,0.48900869488716125
0.3474343419075012,0.4289485216140747
0.3013303577899933,0.38865137100219727
0.22447356581687927,0.411197304725647
0.11836017668247223,0.4407634437084198
0.007886385545134544,0.4501597285270691
-0.10342685878276825,0.4255133271217346
-0.23319265246391296,0.3939644992351532
-0.36248579621315,0.4261038303375244
-0.45946043729782104,0.450857013463974
-0.5388456583023071,0.2162645310163498
-0.6520014405250549,-0.25963324308395386
-0.7211642265319824,-0.4860687553882599
-0.7188632488250732,-0.49074506759643555
-0.672910213470459,-0.3356265723705292
-0.5893228650093079,0.010211671702563763
-0.498819500207901,0.3416469693183899
-0.4232313930988312,0.48598361015319824
-0.3549814522266388,0.4726194143295288
-0.2673090994358063,0.29898595809936523
-0.1642652451992035,-0.05545196309685707
-0.07996318489313126,-0.30662792921066284
-0.023036783561110497,-0.39863160252571106
