NewTegomin-Regular,B
ShareTech-Regular,B
-0.18883724510669708,-0.520990252494812
0.05703674629330635,-0.51983642578125
0.18834172189235687,-0.47471749782562256
0.24610944092273712,-0.3934571146965027
0.2606118321418762,-0.2830241024494171
0.22901040315628052,-0.15722927451133728
0.14347775280475616,-0.02777152694761753
-0.004404216539114714,-0.0021775367204099894
-0.08515405654907227,-0.00043454018305055797
-0.01879827119410038,-0.002370621310546994
0.08310434967279434,-0.00785351824015379
0.1489257663488388,0.0195627361536026
0.23718221485614777,0.10351116955280304
0.29883381724357605,0.2229808121919632
0.30743706226348877,0.36134082078933716
0.2747951149940491,0.4795715808868408
0.21327772736549377,0.5482233762741089
0.12798179686069489,0.5816671848297119
0.021717218682169914,0.5962423086166382
-0.09873571246862411,0.5978459119796753
-0.19699133932590485,0.587822437286377
-0.24859443306922913,0.5883042812347412
-0.2562645673751831,0.5932361483573914
-0.2451196163892746,0.5496001243591309
-0.2372874915599823,0.4151456356048584
-0.2331908792257309,0.16099202632904053
-0.23326009511947632,-0.16067469120025635
-0.23703721165657043,-0.39007341861724854
-0.23669174313545227,-0.4755854308605194
-0.23259322345256805,-0.5071850419044495
