Signika[wght],Q
Laila-Light,Q
0.0024651687126606703,-0.5906676054000854
0.055281586945056915,-0.5947690606117249
0.10197838395833969,-0.5838437676429749
0.18103958666324615,-0.559292197227478
0.2505980432033539,-0.5215811729431152
0.31553566455841064,-0.46646052598953247
0.37695249915122986,-0.38605403900146484
0.43140527606010437,-0.2754411995410919
0.4682480990886688,-0.1509711891412735
0.476846843957901,-0.010422657243907452
0.4588148891925812,0.14008678495883942
0.4179401695728302,0.2779301702976227
0.35483014583587646,0.3973681330680847
0.26788151264190674,0.50290846824646
0.15932224690914154,0.5838399529457092
0.046372123062610626,0.6243720054626465
-0.05273766815662384,0.620090126991272
-0.15245041251182556,0.5730253458023071
-0.2556231617927551,0.481764018535614
-0.3465067148208618,0.34740716218948364
-0.4076475203037262,0.18168355524539948
-0.4335322976112366,0.014943113550543785
-0.42800047993659973,-0.12627488374710083
-0.39954453706741333,-0.24601474404335022
-0.35606271028518677,-0.3502809405326843
-0.3047809898853302,-0.43439731001853943
-0.25164365768432617,-0.4928230345249176
-0.20286107063293457,-0.529091477394104
-0.1628730148077011,-0.5508595705032349
-0.1318514496088028,-0.564469575881958
