Signika[wght],Q
Laila-Light,Q
-0.0008575913961976767,-0.5708655118942261
0.04165692254900932,-0.5724709630012512
0.09765928238630295,-0.5613366365432739
0.17737573385238647,-0.537263035774231
0.2452017217874527,-0.49896374344825745
0.30617839097976685,-0.44175657629966736
0.3629159927368164,-0.3570084273815155
0.410347580909729,-0.24014107882976532
0.43824875354766846,-0.10561225563287735
0.4412047863006592,0.04186936467885971
0.42264220118522644,0.18740928173065186
0.3854733109474182,0.31438347697257996
0.328684538602829,0.42561566829681396
0.2519994378089905,0.5209301114082336
0.15596085786819458,0.5865970849990845
0.046146657317876816,0.6199699640274048
-0.060121793299913406,0.6164939403533936
-0.16433410346508026,0.5726219415664673
-0.26406949758529663,0.48712942004203796
-0.3451896905899048,0.35974830389022827
-0.3980357348918915,0.19715341925621033
-0.4209017753601074,0.0291127972304821
-0.41602516174316406,-0.11537936329841614
-0.3897353708744049,-0.23576225340366364
-0.3495379090309143,-0.33790889382362366
-0.3019770383834839,-0.41962939500808716
-0.2518731355667114,-0.4765825569629669
-0.20495182275772095,-0.5121634006500244
-0.16580553352832794,-0.533592164516449
-0.1349802166223526,-0.5469635128974915
