Signika[wght],Q
Laila-Light,Q
-0.0035846526734530926,-0.557172417640686
0.03492003306746483,-0.5575644969940186
0.09846072643995285,-0.545817494392395
0.17851951718330383,-0.5214276909828186
0.2447112500667572,-0.4816790521144867
0.30275726318359375,-0.4214159846305847
0.35572904348373413,-0.33142706751823425
0.3966338038444519,-0.20795144140720367
0.41728079319000244,-0.06519633531570435
0.4161953628063202,0.08506617695093155
0.39774349331855774,0.22361312806606293
0.3629721701145172,0.3434123396873474
0.30953818559646606,0.44959893822669983
0.23841115832328796,0.53447425365448
0.1503332108259201,0.5877983570098877
0.04432234913110733,0.6155216693878174
-0.0674983412027359,0.6125012040138245
-0.17549805343151093,0.5705581903457642
-0.27230846881866455,0.489585816860199
-0.3453245460987091,0.3706664443016052
-0.3910333812236786,0.21416310966014862
-0.4112885296344757,0.044646285474300385
-0.4074508547782898,-0.10549503564834595
-0.38320329785346985,-0.22824080288410187
-0.34525254368782043,-0.3293837606906891
-0.299860417842865,-0.40937545895576477
-0.25137409567832947,-0.4651346504688263
-0.20537470281124115,-0.500127911567688
-0.1665613055229187,-0.5212762951850891
-0.1356792449951172,-0.5344641804695129
