Signika[wght],Q
Laila-Light,Q
0.0003590136475395411,-0.5775741934776306
0.04588885232806206,-0.5799817442893982
0.09848827868700027,-0.5689810514450073
0.17797255516052246,-0.5448578596115112
0.24644094705581665,-0.5069365501403809
0.30880334973335266,-0.4507158696651459
0.3671727180480957,-0.36783286929130554
0.4172426760196686,-0.25350260734558105
0.4484180212020874,-0.12272733449935913
0.4533828794956207,0.02258751355111599
0.43494921922683716,0.17049825191497803
0.3965442180633545,0.30122652649879456
0.3378117084503174,0.41509395837783813
0.2579708993434906,0.5143529176712036
0.1577879935503006,0.5856868624687195
0.04657408222556114,0.6216700077056885
-0.057110078632831573,0.6179741024971008
-0.1596480906009674,0.5731141567230225
-0.26069068908691406,0.4855044484138489
-0.3454514145851135,0.35505181550979614
-0.4013614058494568,0.19088611006736755
-0.42531079053878784,0.023519521579146385
-0.42011624574661255,-0.11932773143053055
-0.3930228650569916,-0.23923374712467194
-0.3517310619354248,-0.3420495092868805
-0.3029884696006775,-0.4246126115322113
-0.25194594264030457,-0.4821108877658844
-0.20445847511291504,-0.5179554224014282
-0.16506856679916382,-0.5395140647888184
-0.13420899212360382,-0.5529739856719971
