Signika[wght],Q
Laila-Light,Q
-0.005064041819423437,-0.5501818656921387
0.03273804485797882,-0.5502621531486511
0.10035071521997452,-0.5379588603973389
0.18038031458854675,-0.5131788849830627
0.24550524353981018,-0.47228318452835083
0.3019808530807495,-0.40983307361602783
0.3526214063167572,-0.3163147568702698
0.3895459771156311,-0.18861626088619232
0.40635865926742554,-0.04163306951522827
0.4034252464771271,0.10868296027183533
0.3852536678314209,0.24290421605110168
0.3515816032886505,0.35957491397857666
0.2995363175868988,0.4629608988761902
0.2308206409215927,0.5410147905349731
0.14636120200157166,0.5879873633384705
0.04259262979030609,0.6126947402954102
-0.07199341058731079,0.6098456382751465
-0.1820303499698639,0.5688735842704773
-0.27725136280059814,0.4901130199432373
-0.3460140824317932,0.37609508633613586
-0.38759976625442505,0.22448396682739258
-0.406076043844223,0.0549212247133255
-0.4028517007827759,-0.09919911623001099
-0.37989136576652527,-0.22413280606269836
-0.34310993552207947,-0.3250587284564972
-0.2986934781074524,-0.40417352318763733
-0.25087612867355347,-0.45927292108535767
-0.205231174826622,-0.49393346905708313
-0.16651129722595215,-0.5149267315864563
-0.1355443298816681,-0.528018057346344
