Gorditas-Bold,M
Thabit-Oblique,M
0.35367393493652344,0.5294435620307922
0.45397982001304626,-0.44267821311950684
0.3574939966201782,-0.35636067390441895
0.1628066450357437,-0.08780502527952194
0.004094179254025221,0.10196537524461746
-0.04310468211770058,0.04421529918909073
-0.10329403728246689,-0.1287599354982376
-0.21350787580013275,-0.2706558406352997
-0.3026905953884125,-0.35305941104888916
-0.343335896730423,-0.38083744049072266
-0.3483884930610657,-0.39073216915130615
-0.3392508327960968,-0.3990579843521118
-0.3284589648246765,-0.4035053551197052
-0.32175686955451965,-0.40064963698387146
-0.3193589746952057,-0.3824203610420227
-0.320817232131958,-0.33697232604026794
-0.32590386271476746,-0.25985750555992126
-0.3335092067718506,-0.15908075869083405
-0.3417142331600189,-0.042712196707725525
-0.34885936975479126,0.08643439412117004
-0.3544169068336487,0.2248656004667282
-0.3596338629722595,0.3589438498020172
-0.36675864458084106,0.46443793177604675
-0.3757701516151428,0.5304237604141235
-0.38259416818618774,0.5657573938369751
-0.3840291202068329,0.582074761390686
-0.38129621744155884,0.5883429646492004
-0.3769979178905487,0.5908315777778625
-0.37226682901382446,0.5915937423706055
-0.36754631996154785,0.5909092426300049
