Gorditas-Bold,M
Thabit-Oblique,M
0.38001275062561035,0.36604148149490356
0.4867849349975586,-0.4089627265930176
0.42354217171669006,-0.32152700424194336
0.26588672399520874,-0.07349162548780441
0.14202745258808136,0.17588208615779877
0.10605525970458984,0.2821475565433502
0.12227249145507812,0.20830664038658142
0.1081082671880722,0.07732095569372177
-0.005428052507340908,-0.05326952040195465
-0.15107236802577972,-0.19082188606262207
-0.23286983370780945,-0.3016378879547119
-0.28251558542251587,-0.3529323935508728
-0.3006646931171417,-0.3666702210903168
-0.30241408944129944,-0.3697366714477539
-0.3006422817707062,-0.3715309500694275
-0.29929736256599426,-0.3709632158279419
-0.29862070083618164,-0.3640657365322113
-0.2982918620109558,-0.34802794456481934
-0.2983875870704651,-0.32315170764923096
-0.299297958612442,-0.2913292646408081
-0.30129706859588623,-0.2530133128166199
-0.30439284443855286,-0.20640642940998077
-0.3084644675254822,-0.14831574261188507
-0.31337806582450867,-0.07517895102500916
-0.31894904375076294,0.015800710767507553
-0.3248656392097473,0.12517938017845154
-0.33085158467292786,0.24884562194347382
-0.33738455176353455,0.37274226546287537
-0.3461519479751587,0.47228309512138367
-0.3570104241371155,0.5340251922607422
