Gorditas-Bold,M
Thabit-Oblique,M
0.44466671347618103,-0.17444643378257751
0.5147839188575745,-0.3088870346546173
0.48598480224609375,-0.23599953949451447
0.4196810722351074,-0.014405829831957817
0.3682430684566498,0.24590294063091278
0.3317778706550598,0.4898279309272766
0.324891597032547,0.5784788131713867
0.418296217918396,0.591935396194458
0.46371257305145264,0.6008628606796265
0.36141401529312134,0.5903422236442566
0.25589719414711,0.5955299735069275
0.13289542496204376,0.612095057964325
-0.0764990895986557,0.6233490705490112
-0.24450956284999847,0.6056524515151978
-0.3675059676170349,0.579377293586731
-0.4560825526714325,0.6044074296951294
-0.4906090497970581,0.6215291619300842
-0.4077536463737488,0.6001335382461548
-0.3648887276649475,0.5516991019248962
-0.32888028025627136,0.4151109755039215
-0.2732202708721161,0.1897897869348526
-0.22456157207489014,-0.07969999313354492
-0.1983807384967804,-0.2518601715564728
-0.19362805783748627,-0.28346800804138184
-0.21535229682922363,-0.2783699631690979
-0.23552505671977997,-0.27533474564552307
-0.23553182184696198,-0.2710738480091095
-0.22126346826553345,-0.26509079337120056
-0.1971379518508911,-0.2585262358188629
-0.15839986503124237,-0.2567938566207886
