Gorditas-Bold,M
Thabit-Oblique,M
0.3646376430988312,0.4723779857158661
0.4704628586769104,-0.42871785163879395
0.3906415104866028,-0.34275904297828674
0.20485304296016693,-0.08395781368017197
0.04300594702363014,0.13397277891635895
-0.010338544845581055,0.1262340545654297
-0.0404382087290287,-0.045786865055561066
-0.14996689558029175,-0.2076980024576187
-0.24815982580184937,-0.31197816133499146
-0.3043924868106842,-0.35230088233947754
-0.3233444392681122,-0.36490294337272644
-0.32054996490478516,-0.3756334185600281
-0.31182774901390076,-0.38349923491477966
-0.30586788058280945,-0.3856237232685089
-0.3037312924861908,-0.3763378858566284
-0.30480870604515076,-0.34682705998420715
-0.30878129601478577,-0.2920425236225128
-0.3150383532047272,-0.2164033055305481
-0.3225584030151367,-0.1264585703611374
-0.33037814497947693,-0.023862570524215698
-0.33774125576019287,0.09219261258840561
-0.3442794680595398,0.22003117203712463
-0.3507317304611206,0.3488820493221283
-0.35901808738708496,0.4558188319206238
-0.36940303444862366,0.5253140926361084
-0.37802430987358093,0.5631129145622253
-0.38150554895401,0.580973744392395
-0.3808269202709198,0.588331937789917
-0.3781445026397705,0.5916262269020081
-0.3743695020675659,0.5928070545196533
