NanumGothic-Regular,T
SingleDay-Regular,T
0.0051569631323218346,0.5441484451293945
0.0077447122894227505,0.5648055076599121
0.012285195291042328,0.5405597686767578
0.012841450050473213,0.3108058571815491
0.012756097130477428,-0.13565510511398315
0.012233381159603596,-0.4947875738143921
0.016011400148272514,-0.6134751439094543
0.04747963696718216,-0.6287307739257812
0.11101096123456955,-0.6337465047836304
0.1856059581041336,-0.6369359493255615
0.25358378887176514,-0.6381969451904297
0.30634087324142456,-0.6370894908905029
0.3418487310409546,-0.6336054801940918
0.35531482100486755,-0.632551908493042
0.32451537251472473,-0.637197732925415
0.22165487706661224,-0.6351535320281982
0.07586687803268433,-0.6308592557907104
-0.07028821110725403,-0.6296240091323853
-0.1762162297964096,-0.6310659646987915
-0.2343742400407791,-0.6327951550483704
-0.26497820019721985,-0.6338881254196167
-0.28402701020240784,-0.6345357298851013
-0.2979402244091034,-0.6350648403167725
-0.30860742926597595,-0.6355940103530884
-0.31683072447776794,-0.6361219882965088
-0.32320636510849,-0.6366174221038818
-0.3281838297843933,-0.6370415687561035
-0.332103431224823,-0.6373660564422607
-0.3352420926094055,-0.6376085877418518
-0.3377440869808197,-0.6378288865089417
