NanumGothic-Regular,T
SingleDay-Regular,T
0.009141641668975353,0.5593281984329224
0.01586654968559742,0.566582977771759
0.014482167549431324,0.5187968015670776
0.01571611873805523,0.3221598267555237
0.014940431341528893,0.04317592829465866
0.012854240834712982,-0.16357551515102386
0.011114958673715591,-0.2547861933708191
0.017165975645184517,-0.28308117389678955
0.03970671072602272,-0.29120951890945435
0.07864338159561157,-0.29448696970939636
0.12704253196716309,-0.2963545322418213
0.17664626240730286,-0.2974661588668823
0.2204716056585312,-0.2982199788093567
0.2547222077846527,-0.29901304841041565
0.2779669165611267,-0.3011561930179596
0.28286343812942505,-0.30382415652275085
0.24301347136497498,-0.2996012568473816
0.15029700100421906,-0.2944748103618622
0.03830443322658539,-0.29300257563591003
-0.06443532556295395,-0.2939527928829193
-0.13371112942695618,-0.29517775774002075
-0.17059925198554993,-0.29536962509155273
-0.19049039483070374,-0.2947717607021332
-0.2035893201828003,-0.293962687253952
-0.21364577114582062,-0.2931976914405823
-0.22164343297481537,-0.2924748361110687
-0.22791787981987,-0.2916903793811798
-0.23276041448116302,-0.29068106412887573
-0.23661959171295166,-0.28932681679725647
-0.24007871747016907,-0.28783732652664185
