NanumGothic-Regular,T
SingleDay-Regular,T
-0.00162801006808877,0.560710072517395
0.015137657523155212,0.5596234798431396
0.01383492536842823,0.49952203035354614
0.01592852734029293,0.28582537174224854
0.014667762443423271,0.020291725173592567
0.012523598037660122,-0.15323913097381592
0.012226065620779991,-0.22580887377262115
0.021796517074108124,-0.24936778843402863
0.048385486006736755,-0.2564825415611267
0.09047842770814896,-0.2588941752910614
0.1405671387910843,-0.2597566246986389
0.19034215807914734,-0.25978901982307434
0.23330041766166687,-0.2595030665397644
0.26630446314811707,-0.2598840594291687
0.28703150153160095,-0.26292547583580017
0.28047993779182434,-0.26368749141693115
0.21752320230007172,-0.2580550014972687
0.10847257077693939,-0.2544202208518982
-0.009190486744046211,-0.25422772765159607
-0.1028575450181961,-0.255451500415802
-0.1566586196422577,-0.25594815611839294
-0.18388277292251587,-0.2552398145198822
-0.19982019066810608,-0.2540786564350128
-0.2115001231431961,-0.25297433137893677
-0.22095078229904175,-0.251995325088501
-0.2286265343427658,-0.25101205706596375
-0.23474396765232086,-0.24981734156608582
-0.2396656572818756,-0.24820365011692047
-0.24405869841575623,-0.24629978835582733
-0.24803699553012848,-0.24454134702682495
