NanumGothic-Regular,T
SingleDay-Regular,T
0.017704395577311516,0.5590019226074219
0.01489904522895813,0.5694586634635925
0.015279009006917477,0.5394634008407593
0.015511568635702133,0.34733086824417114
0.018184922635555267,0.021350163966417313
0.018394440412521362,-0.25999754667282104
0.016730789095163345,-0.3939773142337799
0.023730382323265076,-0.4316537082195282
0.051911335438489914,-0.4397711455821991
0.09778030961751938,-0.4433287978172302
0.15091031789779663,-0.44553619623184204
0.20151592791080475,-0.4470615088939667
0.24307528138160706,-0.44813239574432373
0.2733090817928314,-0.4483867287635803
0.29162266850471497,-0.4496755599975586
0.2905080020427704,-0.45317506790161133
0.24487315118312836,-0.4501773416996002
0.15077291429042816,-0.4443345367908478
0.04142388328909874,-0.44161975383758545
-0.05917881801724434,-0.44202637672424316
-0.1295453906059265,-0.4434965252876282
-0.16910256445407867,-0.4445625841617584
-0.19118043780326843,-0.44507601857185364
-0.20555754005908966,-0.4453364312648773
-0.21621115505695343,-0.44555169343948364
-0.22439882159233093,-0.44576960802078247
-0.2306569665670395,-0.44596487283706665
-0.23536981642246246,-0.44608357548713684
-0.23885676264762878,-0.44604575634002686
-0.2414568066596985,-0.4457961618900299
