Fahkwang-SemiBold,M
BarlowCondensed-SemiBold,M
0.2971150875091553,-0.4325363337993622
0.28821879625320435,-0.4420022666454315
0.2906974256038666,-0.3610588312149048
0.29681524634361267,-0.10224819928407669
0.2968618869781494,0.2241528183221817
0.292073518037796,0.44084420800209045
0.2881941497325897,0.5216007828712463
0.2922706604003906,0.5163081884384155
0.29131555557250977,0.47857019305229187
0.27719905972480774,0.45383793115615845
0.24346384406089783,0.44982194900512695
0.1905352920293808,0.4499399960041046
0.1282707005739212,0.44871044158935547
0.06234481558203697,0.4613201320171356
-0.016051314771175385,0.4948931634426117
-0.11393623054027557,0.5183332562446594
-0.2087719887495041,0.5150197744369507
-0.261895090341568,0.5066530704498291
-0.27884942293167114,0.5169603228569031
-0.28528404235839844,0.5308129787445068
-0.2911480665206909,0.5046740770339966
-0.2957375943660736,0.38483890891075134
-0.29680249094963074,0.15780094265937805
-0.2981036901473999,-0.10760390013456345
-0.3023112118244171,-0.30555078387260437
-0.30421218276023865,-0.4024989604949951
-0.30587777495384216,-0.4374374449253082
-0.3126249611377716,-0.4508815109729767
-0.32119202613830566,-0.4556884169578552
-0.32568788528442383,-0.45595964789390564
