Fahkwang-SemiBold,M
BarlowCondensed-SemiBold,M
0.6192127466201782,0.5058978796005249
0.6063424348831177,-0.43488001823425293
0.3960457742214203,-0.29734575748443604
0.11477656662464142,0.3273150622844696
-0.01951846294105053,0.5357568860054016
-0.0460357740521431,0.5307154655456543
-0.07423420995473862,0.45635533332824707
-0.13558335602283478,0.3380201458930969
-0.2135651409626007,0.17548154294490814
-0.2986641526222229,-0.022567329928278923
-0.3827834725379944,-0.2159918248653412
-0.4664720296859741,-0.3439004421234131
-0.5468845963478088,-0.4062291383743286
-0.6066010594367981,-0.4357432425022125
-0.6356836557388306,-0.44303637742996216
-0.645975649356842,-0.4078785181045532
-0.6499215364456177,-0.32721129059791565
-0.654193639755249,-0.21894830465316772
-0.6599457859992981,-0.10173764824867249
-0.6661287546157837,0.01607571542263031
-0.6717441082000732,0.1318105310201645
-0.6764958500862122,0.24257907271385193
-0.6807816028594971,0.3423059582710266
-0.6852480173110962,0.42185887694358826
-0.6902632713317871,0.4756127595901489
-0.6956697702407837,0.5063881278038025
-0.7002274990081787,0.5211038589477539
-0.7022247314453125,0.525574803352356
-0.7013388872146606,0.5244847536087036
-0.6982537508010864,0.5211904048919678
