Fahkwang-SemiBold,M
BarlowCondensed-SemiBold,M
0.25589805841445923,-0.4369756281375885
0.2690471410751343,-0.46299707889556885
0.2786129415035248,-0.3417506217956543
0.28849995136260986,-0.042816925793886185
0.29258742928504944,0.2840859591960907
0.2862686514854431,0.47719165682792664
0.28408679366111755,0.5370991230010986
0.28837981820106506,0.5193843841552734
0.2860182225704193,0.4757659435272217
0.2677590847015381,0.4526935815811157
0.227554589509964,0.44906291365623474
0.16636775434017181,0.4469356834888458
0.09365550428628922,0.4534977972507477
0.008096417412161827,0.4837972819805145
-0.10013147443532944,0.5161133408546448
-0.20511437952518463,0.5158411264419556
-0.26260197162628174,0.5059112906455994
-0.2802155613899231,0.5200534462928772
-0.28704437613487244,0.5313834547996521
-0.2918652594089508,0.47521811723709106
-0.2938545048236847,0.2980474829673767
-0.2915334403514862,0.022526908665895462
-0.29179710149765015,-0.23579499125480652
-0.29140278697013855,-0.38505810499191284
-0.2887763977050781,-0.43836861848831177
-0.2918042242527008,-0.45613837242126465
-0.2995447814464569,-0.46322235465049744
-0.30428773164749146,-0.464785099029541
-0.30366072058677673,-0.46364566683769226
-0.2984960973262787,-0.46101003885269165
