Fahkwang-SemiBold,M
BarlowCondensed-SemiBold,M
0.6201530694961548,0.516252338886261
0.5889610052108765,-0.4402831196784973
0.3896295428276062,-0.3222256898880005
0.1406973898410797,0.30177703499794006
0.008793522603809834,0.5184249877929688
-0.03634391352534294,0.5241217613220215
-0.07102964073419571,0.4647154211997986
-0.12721960246562958,0.3615019917488098
-0.19670730829238892,0.216403990983963
-0.27232566475868225,0.03642292693257332
-0.34638962149620056,-0.15434600412845612
-0.4171237051486969,-0.3010162115097046
-0.4902361035346985,-0.3851718008518219
-0.5576213002204895,-0.42379042506217957
-0.601677417755127,-0.44203895330429077
-0.6224390268325806,-0.4357617199420929
-0.6315380334854126,-0.39278772473335266
-0.6366437673568726,-0.31648120284080505
-0.6423494815826416,-0.21690315008163452
-0.6493375897407532,-0.10604822635650635
-0.6565595865249634,0.008601542562246323
-0.6630733013153076,0.12344769388437271
-0.6686356067657471,0.23472563922405243
-0.6737009882926941,0.3354847729206085
-0.678913950920105,0.41603952646255493
-0.6845746040344238,0.47038450837135315
-0.6905478239059448,0.5013155937194824
-0.6959111094474792,0.5165356397628784
-0.6988780498504639,0.5218673348426819
-0.6988011598587036,0.5214612483978271
