Fahkwang-SemiBold,M
BarlowCondensed-SemiBold,M
0.5866007208824158,0.4686358571052551
0.5178235173225403,-0.4348372519016266
0.3780946433544159,-0.3999748229980469
0.24619653820991516,0.10581905394792557
0.1317509114742279,0.42064106464385986
0.050579383969306946,0.4915391504764557
-0.0020074592903256416,0.4863506257534027
-0.05298653990030289,0.4656467139720917
-0.10511749237775803,0.4248466193675995
-0.1559074968099594,0.34951454401016235
-0.20562899112701416,0.23766855895519257
-0.2552034258842468,0.09008528292179108
-0.3029358685016632,-0.07753076404333115
-0.3451741933822632,-0.2211134433746338
-0.38463354110717773,-0.31673312187194824
-0.4243267774581909,-0.3715176284313202
-0.45866891741752625,-0.4043777585029602
-0.48491165041923523,-0.42565375566482544
-0.5056862235069275,-0.4343577027320862
-0.5223667025566101,-0.43068623542785645
-0.5340150594711304,-0.4188430905342102
-0.5417944192886353,-0.4033634066581726
-0.5476964712142944,-0.38647985458374023
-0.5528024435043335,-0.3684430718421936
-0.5575565099716187,-0.34862181544303894
-0.5621469020843506,-0.32617950439453125
-0.5666486024856567,-0.3003518283367157
-0.5710750818252563,-0.27050089836120605
-0.5754141807556152,-0.2360684871673584
-0.5796552896499634,-0.19650162756443024
