Fahkwang-SemiBold,M
BarlowCondensed-SemiBold,M
0.5404732823371887,0.09699451178312302
0.46201446652412415,-0.41179153323173523
0.37760695815086365,-0.4073196053504944
0.32110172510147095,-0.11974087357521057
0.2500898540019989,0.24565361440181732
0.1780272275209427,0.42673224210739136
0.11994140595197678,0.47340667247772217
0.07663360238075256,0.4702357053756714
0.042637743055820465,0.46086475253105164
0.010473606176674366,0.45785072445869446
-0.027130013331770897,0.4603181481361389
-0.07212018221616745,0.4615415632724762
-0.11716476082801819,0.45270073413848877
-0.1543598175048828,0.4290444552898407
-0.1831473857164383,0.38890910148620605
-0.20698282122612,0.33114615082740784
-0.22944307327270508,0.25514256954193115
-0.2531120479106903,0.1595727503299713
-0.2792260944843292,0.04569052532315254
-0.3068390488624573,-0.07375957816839218
-0.3336007297039032,-0.17872218787670135
-0.3584212064743042,-0.25751355290412903
-0.3809620440006256,-0.31378233432769775
-0.39943361282348633,-0.3548588752746582
-0.4139396846294403,-0.38301724195480347
-0.42592504620552063,-0.4024907946586609
-0.4353843033313751,-0.4157221019268036
-0.4417273700237274,-0.4216521382331848
-0.44609516859054565,-0.4219321310520172
-0.4496000111103058,-0.4193829298019409
