Sansita-Regular,I
ShipporiMinchoB1-Bold,I
-0.14118215441703796,0.5838192701339722
0.1364854872226715,0.578043520450592
-0.0070950910449028015,0.5801684856414795
-6.241537630558014e-05,0.38000065088272095
0.0018063037423416972,0.016717061400413513
0.0012277824571356177,-0.31752198934555054
0.0009693947504274547,-0.486757755279541
0.005993441678583622,-0.5386301279067993
0.022334512323141098,-0.5538251399993896
0.04743480309844017,-0.5627837777137756
0.07520002126693726,-0.5695285797119141
0.10036415606737137,-0.5744141936302185
0.12034047394990921,-0.5778700113296509
0.13386133313179016,-0.5804338455200195
0.13950689136981964,-0.5816335082054138
0.1363266408443451,-0.5804852843284607
0.12439481914043427,-0.576916515827179
0.10280484706163406,-0.5719258785247803
0.06950642913579941,-0.5674566030502319
0.027442075312137604,-0.565091609954834
-0.014011113904416561,-0.5648696422576904
-0.04726367071270943,-0.5659669041633606
-0.07099258899688721,-0.5676283836364746
-0.08744717389345169,-0.56944739818573
-0.0991368293762207,-0.5712496042251587
-0.10773595422506332,-0.5729496479034424
-0.11422030627727509,-0.5744882822036743
-0.11919301748275757,-0.5758177042007446
-0.12309219688177109,-0.5769195556640625
-0.12625466287136078,-0.5778387784957886
