Nunito-Italic[wght],H
RoadRage-Regular,H
0.12298418581485748,-0.3700209856033325
0.13189473748207092,-0.377469927072525
0.1410319209098816,-0.2224527895450592
0.15445546805858612,0.13292565941810608
0.17914606630802155,0.44239190220832825
0.18167553842067719,0.5953700542449951
0.18836559355258942,0.6375843286514282
0.19290485978126526,0.6262779235839844
0.18532255291938782,0.5864963531494141
0.15981045365333557,0.5404713153839111
0.11314771324396133,0.5190147757530212
0.047569144517183304,0.5184655785560608
-0.023305736482143402,0.526930570602417
-0.08879393339157104,0.5483922958374023
-0.12768861651420593,0.5588274598121643
-0.13871672749519348,0.5737032890319824
-0.14450250566005707,0.5898133516311646
-0.14762096107006073,0.5720607042312622
-0.1478009968996048,0.4915226995944977
-0.1489776074886322,0.31741198897361755
-0.1512756198644638,0.06600703299045563
-0.15471211075782776,-0.1674608290195465
-0.1528216153383255,-0.29545167088508606
-0.14897939562797546,-0.3360885977745056
-0.1508909910917282,-0.35188406705856323
-0.15522857010364532,-0.36042794585227966
-0.1579355001449585,-0.3631664514541626
-0.1554597169160843,-0.3613174259662628
-0.14207762479782104,-0.35979118943214417
-0.12145455926656723,-0.3622710108757019
