Nunito-Italic[wght],H
RoadRage-Regular,H
0.22615550458431244,-0.3995322585105896
0.23207685351371765,-0.4138033092021942
0.22553834319114685,-0.2756768763065338
0.22082330286502838,0.08418458700180054
0.22754183411598206,0.4195464551448822
0.22750438749790192,0.585237443447113
0.23216845095157623,0.6293747425079346
0.23675478994846344,0.6236805319786072
0.22307878732681274,0.5883727073669434
0.18669694662094116,0.5440624952316284
0.12925365567207336,0.5191606283187866
0.0600728839635849,0.5081121921539307
-0.019557787105441093,0.511242687702179
-0.10421963781118393,0.5331149697303772
-0.16302967071533203,0.5425102710723877
-0.18637193739414215,0.5599419474601746
-0.19511370360851288,0.5841132402420044
-0.19877108931541443,0.5696418285369873
-0.1993187665939331,0.4835280776023865
-0.20007427036762238,0.29303839802742004
-0.20006239414215088,0.027347080409526825
-0.2012978196144104,-0.20777422189712524
-0.19832058250904083,-0.33444881439208984
-0.19329491257667542,-0.37405696511268616
-0.1944391280412674,-0.3879072964191437
-0.19919346272945404,-0.3949793875217438
-0.20317868888378143,-0.39786791801452637
-0.20480692386627197,-0.39795371890068054
-0.2029838263988495,-0.3958810269832611
-0.1946049928665161,-0.39248812198638916
