Kanit-Regular,E
Mirza-SemiBold,E
0.2572759687900543,0.09249305725097656
0.1868617832660675,0.08435358107089996
0.11899086087942123,0.0889071524143219
-0.06784163415431976,0.08968663215637207
-0.2239196002483368,0.0919443890452385
-0.2756846845149994,0.11460183560848236
-0.2785925269126892,0.24828466773033142
-0.2804156243801117,0.44659265875816345
-0.26249581575393677,0.5452578067779541
-0.18555718660354614,0.5627977848052979
-0.027944965288043022,0.5681532621383667
0.16204068064689636,0.5654056072235107
0.28802502155303955,0.5607901811599731
0.33337393403053284,0.5558645725250244
0.20416195690631866,0.563974142074585
-0.10669524222612381,0.5706564784049988
-0.25530415773391724,0.5600478649139404
-0.2765229642391205,0.5078083872795105
-0.2774988114833832,0.3330586552619934
-0.27741509675979614,0.035535380244255066
-0.2782546281814575,-0.1908702403306961
-0.2764308750629425,-0.2951743006706238
-0.26438504457473755,-0.34030070900917053
-0.2373320311307907,-0.36597952246665955
-0.19101852178573608,-0.3816911280155182
-0.09444273263216019,-0.38673970103263855
0.05435006693005562,-0.3877828121185303
0.1734417825937271,-0.38559433817863464
0.24330909550189972,-0.38476356863975525
0.27692514657974243,-0.38527220487594604
